News_Data,Labelling
,
"Andre Rosiade Temui Maruarar, Sepakat Percepatan Rehabilitasi Bencana di Sumbar",Positive
,
Aiptu Ruslan Siapkan Tenda Gratis untuk Warga Palopo: Saya Ingin Bermanfaat,Positive
,
"Raja Charles Berduka Atas Banjir Asia Termasuk RI, Serukan Hal Ini!",Neutral
,
Komisi IX DPR Desak Kemenkes Kirim Dokter-Obat Bantu Korban Bencana Sumatera,Positive
,
Pesan KPK ke Karutan Baru: Integritas Tak Boleh Dinegosiasikan,Neutral
,
"Minimarket Yayasan Yatim Piatu di Bogor Dibobol Maling, Polisi Bergerak",Negative
,
"Kontrakan di Jakbar Digerebek Polisi, Ternyata Jadi 'Bunker' Amunisi",Negative
,
"Hakordia Tahun 2025: Sejarah, Tema hingga Logo Peringatan",Neutral
,
Menhan Nigeria Mengundurkan Diri di Tengah Maraknya Penculikan Massal,Negative
,
Aiptu Ruslan Ajak Warga Palopo Hidup Bersih Lewat Program Motor Sampah,Positive
,
FGD Badan Pengkajian MPR Mengulas Dinamika Pemerintahan Daerah dan Desa,Neutral
,
"Hadir di KPK, RK Siap Beri Klarifikasi Terkait Dugaan Korupsi Rp 222 M",Neutral
,
"Pramono: Jakarta Peringkat 30, Salah Kalau Dibilang Kota Terpadat di Dunia",Neutral
,
Sidang Putusan Praperadilan Paulus Tannos Digelar Hari Ini,Neutral
,
Pemberdayaan Warga Saat Mitigasi Bencana Bawa Tanjung Benoa Diakui Global,Neutral
,
"Daftar Daerah Potensi Muncul Bibit Siklon di Akhir Tahun, BMKG Minta Waspada",Negative
,
Jasa Marga Kebut Perbaikan Tol Medan-Kualanamu-Tebing Tinggi Imbas Banjir,Positive
,
Driver Ojol Ditemukan Tewas Diduga Bunuh Diri di Bogor,Negative
,
Pramono Minta Peserta Reuni 212 Jaga Ketertiban: Jakarta Sudah Aman-Nyaman,Positive
,
"Viral Korban Banjir Ngamuk ke Tim SAR, Basarnas Buka Suara",Negative
,
Menteri PPPA Sebut Pencegahan Korupsi Dimulai dari Peran Ayah di Rumah,Neutral
,
Tips Antigagal dan Jaga Mental Health Saat Kuliah di Luar Negeri,Neutral
,
Kemensos Raih Penghargaan Sutami Award 2025 Berkat Sekolah Rakyat,Positive
,
KPK Jawab Gugatan Praperadilan LP3HI dkk Terkait Korupsi Kuota Haji,Neutral
,
Ridwan Kamil Tiba di KPK untuk Diperiksa Terkait Kasus Korupsi,Neutral
,
Korupsi Proyek Banjir Picu Aksi Protes di Filipina,Negative
,
Iran Tangkap 2 Warga Korsel Atas Dugaan Penyelundupan,Neutral
,
Polda Metro Kirim 17 Ton Beras-Ribuan Selimut untuk Korban Bencana Sumatera,Positive
,
Wamensos Pastikan Bantuan Logistik Tersalurkan ke Kutacane Aceh Tenggara,Positive
,
"Ditangkap BNN-Interpol di Kamboja, Ini Sosok Dewi Astutik Buron Sabu Rp 5 T",Negative
,
"Video KPK Panggil RK Terkait Kasus Korupsi BJB, Kuasa Hukum Pastikan Hadir",Negative
,
Asia Tenggara Waspadai Penambangan Kripto,Neutral
,
"Polda Metro Jamin Kawal Reuni 212 di Monas, Anggota Tak Dibekali Senpi",Neutral
,
"Honduras Gelar Pemilu, Pendukung Rixi Moncada Meriahkan TPS",Neutral
,
Tambahan 1.700 Ton Beras Dikirim untuk Bantu Korban Bencana di Aceh,Positive
,
"Unit Humas Reaksi Cepat, Strategi Manajemen Krisis di Era Digital",Neutral
,
Update BNPB: Korban Meninggal Bencana Sumatera Bertambah Jadi 631 Orang,Negative
,
Amel dan Lia Antusias Coba Layanan Campus Immigration Point Undip di Semarang,Neutral
,
Andre Rosiade Dukung Gubernur Sumbar Berantas Pembalakan dan Tambang Liar,Positive
,
Mendagri Minta Pemda Gandeng Kadin untuk Genjot Ekonomi Daerah,Neutral
,
KRL Sempat Gangguan di Stasiun Bekasi-Tambun Pagi Ini,Negative
,
BNN dan Interpol Tangkap Buron Sabu Rp 5 T Dewi Astutik,Negative
,
"Geram Diancam AS, Presiden Venezuela Ogah Damai Kalau Jadi Budak",Neutral
,
Video: Penampakan Kondisi Banjir-Longsor di Aceh dari Satelit,Negative
,
Momen Ikan Hiu Dapat Hadiah Natal Lebih Awal dari Sinterklas di Akuarium Malta,Neutral
,
Video: BMKG Sebut Hujan Bulanan Turun dalam Sehari di Sumatera,Neutral
,
Pekerja di Bogor Tewas Tersambar Petir Saat Perbaiki Gerbang Perumahan,Negative
,
"Distribusi Logistik Jadi Prioritas, Bima Arya: Pastikan ke Keluarga Terdampak",Positive
,
17 Lokasi Kantong Parkir di Sekitaran Monas Saat Acara Reuni 212,Neutral
,
Wamendagri Pastikan Pemerintah Penuhi Kebutuhan Korban Bencana di Sumatera,Positive
,
"Raih Sutami Awards 2025, Kakorlantas Bicara Pentingnya Kolaborasi Demi Keselamatan",Neutral
,
"Lalin di 10 Jalan Kawasan Monas Akan Dialihkan Saat Reuni 212, Simak Titiknya",Neutral
,
Sidang Netanyahu Ditunda Usai Permohonan Pengampunan ke Presiden Israel,Neutral
,
"Bencana di Sumatera, Waka Komisi IV DPR Usul Panja Penyelamatan Hutan",Neutral
,
"Ada Eks Raja OTT KPK, Ini Daftar Pejabat Terbaru Kementerian Haji",Neutral
,
Menyelaraskan Orientasi Partai Golkar dengan Program Prioritas Presiden,Neutral
,
BPBD DKI Siapkan 1.200 Pompa Air Hadapi Potensi Cuaca Ekstrem Akhir Tahun,Neutral
,
"Video: Ada Reuni 212 di Monas, Simak Rekayasa Lalin Hari Ini",Neutral
,
Video: Rusia Ambil Alih Kota Pokrovsk-Vovchansk Ukraina,Neutral
,
"Rapimnas KADIN 2025, Bamsoet Dorong Dunia Usaha Perluas Lapangan Kerja",Positive
,
Kuasa Hukum Sebut Ridwan Kamil Bakal Hadiri Panggilan KPK Hari Ini,Neutral
,
Waka MPR Dorong RUU Pengelolaan Perubahan Iklim: Sejalan Arahan Prabowo,Neutral
,
"Rekayasa Lalin Saat Reuni 212 di Monas, Warga Diimbau Hindari Kawasan Monas",Neutral
,
2.511 Personel Gabungan Kawal Reuni 212 di Silang Monas Hari Ini,Positive
,
Asal Gelondongan Kayu Usai Banjir di Sumut Kini Diusut,Negative
,
MenPAN-RB Dorong Ketahanan Siber Jadi Pilar Transformasi Digital Nasional,Neutral
,
Menteri PAN-RB Dukung BNN Akselerasi Program P4GN,Neutral
,
KPK Panggil Ridwan Kamil di Kasus Rugikan Negara Rp 222 M,Negative
,
"Dimulai Jam 5 Sore Nanti, Ini Agenda Reuni 212 di Monas",Neutral
,
Mengintip Gang Venus Tambora yang Tak Lagi Gelap,Neutral
,
Penumpang Dorong Sekuriti Stasiun hingga Hampir Tertabrak KRL Ternyata ODGJ,Negative
,
Kasus Korupsi Kuota Haji Bikin Penyidik KPK Terbang ke Arab Saudi,Negative
,
KLH Bakal Tinjau Ulang Izin 8 Perusahaan di Aceh-Sumut-Sumbar,Neutral
,
Kisah Pemotor di Cibinong Kena Batunya karena Ngeyel Lawan Arah,Negative
,
"Truk Pecah Ban di Jl Letjen S Parman Arah Slipi, Lalin Macet",Negative
,
4 Titik Jalan Aceh Utara-Bener Meriah Dibuka Lagi Usai Longsor,Positive
,
Video: Kisah Pasutri 22 Tahun Hidup di Dasar Jurang Mojokerto,Negative
,
"Banjir di Sumatera Berangsur Surut, Gelondongan Kayu Mulai Dievakuasi",Positive
,
5 Arahan Prabowo Usai Tinjau Bencana di Sumatera,Neutral
,
Video: Venezuela Tuding AS Berniat Merebut Cadangan Minyak Negara,Neutral
,
"Muncul Gelondongan Kayu Saat Bencana Sumatera, PKB Kaji Pansus Pembalakan Liar",Neutral
,
TNI AU Hujankan Heli Box Bantuan Makanan untuk Pengungsi di Tapanuli,Positive
,
"Bandar Sabu di Riau Dimiskinkan, Aset Miliaran Disita",Positive
,
"Video: Kakak Tikam Adik hingga Tewas di Makassar, Pelaku Diburu",Negative
,
Anomali Hujan Sebulan Tumpah dalam Sehari di Sumatera Diungkap BMKG,Neutral
,
"Video: Kondisi Agam Sumbar Luluh Lantak Terbenam Lumpur, 120 Orang Tewas",Negative
,
4 Kabupaten di Aceh Masih Terisolir Imbas Jalan Putus Dihantam Banjir Bandang,Negative
,
Hari Pencegahan Polusi 2 Desember: Tujuan dan Cara Merayakan,Neutral
,
Berbondong-bondong Warga Israel Daftar Jadi Warga Portugal,Neutral
,
"Jembatan Putus, Warga Aceh Terpaksa Menyeberang Sungai Pakai Perahu",Negative
,
"Rumah Ambruk di Puncak Bogor Usai Hujan Deras, Penghuni Mengungsi",Negative
,
Video: BMKG Prediksi Curah Hujan Tinggi Guyur Kaltim-Pulau Jawa saat Nataru,Negative
,
"Tanah Longsor Tenggelamkan Kapal di Pelabuhan Peru, 12 Orang Tewas",Negative
,
Video: BMKG Sudah Beri Peringatan 8 Hari Sebelum Bencana di Sumatera,Negative
,
Video: Kemunculan Lutung Jawa Bikin Heboh Warga Depok,Neutral
,
Trump Wanti-wanti Israel Tidak 'Campur Tangan' di Suriah,Neutral
,
"Video: Korban Meninggal Bencana Sumatera Capai 539 Jiwa, 453 Hilang",Negative
,
Video: Momen 150 Siswa-Siswi Tapteng Dievakuasi Pakai Helikopter,Negative
,
"Video: Kepala Daerah Kerap Salahkan Hujan saat Bencana, Padahal Tata Ruang",Negative
,
Erdogan Kritik Serangan Drone Ukraina ke 'Armada Bayangan' Rusia di Laut Hitam,Neutral
,
"Gunung Lewotobi Laki-laki Masih Level Awas, Warga Diminta Tetap Waspada",Negative
,
Video Menko Cak Imin Ajak Bahlil-Raja Juli Tobat: Kiamat Sudah Terjadi,Neutral
,
Video: Purnawirawan Tersangka Kasus Satelit Kemhan Ngaku Diperintah Atasan,Negative
,
Menag Serahkan Bantuan Rp 155 M untuk Korban Bencana Aceh-Sumut-Sumbar,Positive
,
"Masuk Kandang, Remaja Brasil Tewas Diterkam Singa",Negative
,
"RUU Penyadapan Masuk Prolegnas Prioritas, KPK Akan Persiapkan Kajian",Neutral
,
"Sido Muncul Dukung Semua Kebijakan Pemerintah, Termasuk Aturan PLTS Atap",Neutral
,
"Penyidik KPK Sudah di Arab Saudi Usut Korupsi Kuota Haji, Ini yang Didalami",Negative
,
Sadis! 4 Orang Aniaya Calon LC di Batam hingga Tewas,Negative
,
Jurnalis detikcom Raih Humas Kemenag Award 2025 Penguatan Literasi Keagamaan,Positive
,
Video: Komisi V DPR Soroti Penyebab Bencana di Sumatera Akibat Kerusakan Alam,Neutral
,
Video: Menteri LH Dalami Dugaan PLTA Jadi Penyebab Banjir Sumatera,Neutral
,
"Gudang Pabrik Makanan di Pati Kebakaran, Karyawan Berlarian Evakuasi",Negative
,
Video: IDAI Berharap Banjir di Sumatera Ditetapkan Jadi Bencana Nasional,Neutral
,
"Banjir-Longsor di Subulussalam Aceh: 5 Jembatan, 2 Jalan dan 2 SD Rusak",Negative
,
Stok BBM untuk Genset RS dan Puskemas di Bener Meriah Aceh Menipis,Negative
,
Kata BMKG soal Wanti-wanti Cuaca Ekstrem Sebelum Bencana di Sumatera,Negative
,
Video: Atap Ruko di Bogor Ambruk Usai Diterjang Hujan dan Angin Kencang,Negative
,
Video: Komisi V DPR Dukung Penetapan Bencana Nasional di Sumatera,Neutral
,
Kakorlantas Polri Terima Penghargaan Sutami Awards 2025,Positive
,
Pertamina Salurkan Bantuan & Evakuasi Pekerja Terdampak Banjir di Aceh,Positive
,
Video: Menteri LH akan Panggil 8 Perusahaan soal Gelondongan Kayu di Sumut,Positive
,
Video: 13 Orang Ditangkap Terkait Kebakaran Apartemen di Hong Kong,Negative
,
KPK Ungkap ASN Kemenhub Atur Pengondisian di Korupsi Jalur KA Medan,Negative
,
Video: Momen Pengiriman Bantuan Logistik untuk Korban Bencana Sumatera via Udara,Neutral
,
Presiden Israel Pertimbangkan 'Kepentingan Terbaik' Ampuni Korupsi Netanyahu,Neutral
,
"Reuni 212 di Monas Besok, 12 Kereta Akan Berhenti di Stasiun Jatinegara",Neutral
,
"Menembus Desa Terisolir, TNI-Polri Selamatkan Warga Sakit di Palembayan",Positive
,
BPJS Ketenagakerjaan Luncurkan Buku 'Journey Integrated Report',Neutral
,
Video Viral Pria Bawa Pedang Marah ke Pemobil di Jaksel,Negative
,
KPK Panggil Ridwan Kamil Terkait Kasus BJB Minggu Ini,Neutral
,
Seteru Ari Bias Vs Agnes Mo Perkara 'Bilang Saja' Berlanjut,Neutral
,
Hong Kong Bersatu Mengenang Korban Kebakaran Kompleks Wang Fuk Court,Negative
,
RUU Penyesuaian Pidana Atur Cabut Hak Keprofesian Lewat Putusan Pengadilan,Neutral
,
BNPB Sentil Kepala Daerah Salahkan Hujan Saat Bencana: Padahal Tata Ruang,Negative
,
KPK Tahan 2 Tersangka Kasus Korupsi Proyek Jalur KA Wilayah Medan,Negative
,
ASDP Resmi Operasikan Layanan Kapal Express di Dermaga VI & I Merak,Neutral
,
Video: Prabowo Bicara soal Penanganan Bencana Sumatera-Aceh,Neutral
,
"AHY Dorong Percepatan Pemulihan Infrastruktur di Aceh, Sumut & Sumbar",Positive
,
4 Ton Bantuan Makanan hingga Obat Dikirim ke Solok-Agam Via Udara,Positive
,
Prabowo Pastikan Perbaikan Rumah-Jembatan Rusak Akibat Bencana Sumatera,Positive
,
"Pemkab Badung Siapkan Beasiswa Penuh S1 di 2026, Prioritaskan Anak Petani",Positive
,
Kata Paus Leo soal Negara Palestina Jadi Solusi Satu-satunya,Neutral
,
"Operasi Pencarian Korban, Polisi Hong Kong Sisir Puing Kebakaran Wang Fuk Court",Negative
,
Kabasarnas Ungkap Kekurangan Tangani Banjir Sumbar: 1 Kantor Cover 18 Daerah,Negative
,
Video Prabowo Janji Perbaiki Jembatan Rusak di Aceh: Kita Punya Anggaran,Positive
,
"Video: Sidang Kasus Penganiayaan ART di Batam, Majikan Dituntut 10 Tahun Bui",Negative
,
Kepala BNN Lantik Kombes Dedy Tabrani Jadi Kepala BNNP Kalteng,Neutral
,
"Pohon Tumbang di Depok Akibat Hujan dan Angin Kencang, Sempat Tutup Jalan",Negative
,
Video: Kejagung Limpahkan 2 Tersangka Kasus Satelit Kemhan ke Pengadilan Militer,Neutral
,
Tekad Bupati Badung Gratiskan Biaya Sekolah Siswa SMA di 2026,Positive
,
"Potret Macet Jakarta, Kota Terpadat di Dunia Versi PBB",Negative
,
Video: Basarnas Ungkap Kendala Pencarian Korban Hilang di Bencana Sumatera,Neutral
,
"Angkot di Stasiun Citayam Depok Bikin Macet, Warga Minta Pemkot Benahi",Negative
,
Polisi Selidiki Viral 'Atlet MMA' Ribut dengan Debt Collector di Jaksel,Negative
,
"Prabowo Pastikan Percepat Pemulihan Infrastruktur di Aceh, Sumut, & Sumbar",Positive
,
"Jembatan di Nganjuk Roboh Diterjang Arus Deras, Akses Antar Desa Terputus",Negative
,
Purnawirawan Tersangka Kasus Satelit Kemhan: Saya Laksanakan Perintah Atasan,Negative
,
Polda Banten Gelar Salat Gaib untuk Korban Bencana di Sumatera,Positive
,
"Hujan-Angin Kencang, Pohon Tumbang hingga Atap Ruko Ambruk di Bogor",Negative
,
"Cara Buat Kartu Kereta untuk Petani dan Pedagang, Simak Tahapannya!",Neutral
,
"Kebakaran Rumah di Jelambar Jakbar, 1 Orang Tewas dan 3 Terluka",Negative
,
Prabowo Usai Cek Korban Banjir di Sumbar: Listrik Hampir 100%,Positive
,
Kemensos Dirikan 28 Dapur Umum Layani 50 Ribu Korban Banjir Sumatera,Positive
,
KemenImipas-Kemenkeu Godok Tarif Baru PNBP-Kemudahan Izin Tinggal Mahasiswa Asing,Neutral
,
"Dony Oskaria: BUMN Milik Rakyat, Wajib Hadir di Tengah Korban Bencana",Positive
,
"Fraksi PKS MPR & LATS Gelar Lokakarya Akademik, Bahas Tata Kelola SDA",Neutral
,
Gus Ipul Dampingi Presiden Prabowo Tinjau Posko Pengungsi Banjir di Aceh,Neutral
,
Video: Momen Prabowo Geleng Kepala saat Dibilang 'Presiden Seumur Hidup',Neutral
,
Data Terbaru BNPB: Korban Meninggal Bencana Sumatera Capai 604 Orang,Negative
,
Potret Terbaru Kondisi Sungai Pagan Usai Banjir Bandang di Aceh Tenggara,Negative
,
Link Daftar Program Mudik Gratis Kemenhub Nataru 2025/2026,Neutral
,
Muzani soal Penjarahan di Sibolga: Pemerintah Sedang Penuhi Kebutuhan Warga,Negative
,
Video Komisi IV DPR Minta Kemenhut Bawa Data di Rapat soal Bencana Sumatera,Neutral
,
Video: Komisi IV soal Tim Investigasi Kayu Gelondongan di Banjir Sumatera,Neutral
,
"Polres Serang Ungkap 1.009 Kasus Kriminal Selama 2025, Jerat 1.057 Tersangka",Negative
,
Video: Komisi II DPR Usul Status Darurat Bencana Nasional Sumatera,Neutral
,
Mendagri Jelaskan Penyaluran Bantuan Pangan bagi Daerah Bencana,Neutral
,
"Ada Reuni 212 di Monas, Simak Rekayasa Lalin Besok 2 Desember",Neutral
,
Kejagung Limpahkan 3 Tersangka Kasus Satelit Kemhan ke Oditur Militer,Negative
,
BMKG Ungkap Ancaman Bencana Hidometeorologi di Jawa-Papua Sampai Februari 2026,Negative
,
Catatan Ketua MPR soal Mitigasi Terkait 9 WNI Tewas di Kebakaran Hong Kong,Negative
,
"Video Kabasarnas: 447 Orang Tewas Akibat Bencana Sumatera, 33.620 Jiwa Terdampak",Negative
,
"Akui Gagal Tangani Banjir Tewaskan 170 Orang, PM Thailand Minta Maaf",Neutral
,
"Akses Terputus, Warga Andalkan Jembatan Darurat Pascabanjir di Salareh Aia",Negative
,
"Konektivitas Digital di Puskesmas, Muluskan Layanan dan Kenyamanan Pasien",Positive
,
Motis Nataru 2025/2026: Jadwal hingga Syarat Pendaftaran,Neutral
,
"Baleg Setujui RUU BPIP Jadi Usul Inisiatif DPR, Akan Dibawa ke Paripurna",Neutral
,
Momen Andre Rosiade Dampingi Prabowo Kunjungi Korban Banjir di Sumbar,Neutral
,
Mendagri Minta Pemda Perkuat Sinergi Hadapi Potensi Bencana & Nataru,Neutral
,
5 Rekomendasi Tas Siaga Bencana Beserta Karakteristiknya,Neutral
,
"Viral 'Bang Jago' Bawa Pedang Marah ke Pemobil di Jaksel, Polisi Usut",Negative
,
"Update Data Korban Bencana Sumatera: 593 Orang Meninggal, 468 Masih Hilang",Negative
,
Kabasarnas Ungkap Beratnya Bencana di Sumatera: Tim SAR Ekstra Kelelahan,Negative
,
Simak! Ini Penyebab Uang Saku Magang Nasional Belum Cair,Negative
,
"Ada Diskon Stimulus Ekonomi, Penumpang Kapal PELNI Melonjak Jelang Nataru",Neutral
,
Alam Berteriak di Bagian Barat Indonesia dan Kita Perlu Mendengar,Positive
,
Trump Setop Pemberian Suaka: Akan Berlangsung Sangat Lama,Neutral
,
Rapor Merah Perundungan di Bangku Sekolah,Negative
,
"Dari Jalan hingga Bedah Rumah, Ibas Komitmen Kawal Infrastruktur Pacitan",Positive
,
6 Terdakwa Kasus Kericuhan Akhir Agustus Minta Dilepaskan dari Dakwaan,Negative
,
Mendagri soal Status Bencana Aceh-Sumut-Sumbar: Perlakuannya Sudah Nasional,Neutral
,
Australia Bongkar Kasus Pelecehan Anak Bernuansa Satanik,Neutral
,
5 Berita Terpopuler Internasional Hari Ini,Neutral
,
Video: Kades di Gorontalo Gelar Demo Protes Regulasi Dana Desa,Negative
,
Alat Berat dari Polda Riau Buka Akses Jalan yang Terisolir Bencana di Agam,Positive
,
Prabowo Janji Segera Benahi Air Bersih-Jembatan Rusak Akibat Bencana di Sumbar,Positive
,
"Gerak Cepat Brimob Polda Riau, Jasad Ibu-Anak Korban Banjir Agam Ditemukan",Negative
,
"Logistik di Aceh Singkil Sisa untuk Besok, Pengungsi Terancam Kelaparan",Negative
,
BMKG: Hujan Bulanan Turun dalam Sehari di Sumatera Terjadi 3 Hari,Negative
,
Israel Bunuh 40 Militan Hamas dalam Operasi di Terowongan Gaza,Negative
,
Polisi Tangkap 2 Pria yang Maling Motor Saat Salat Jumat di Jakpus,Negative
,
Kemendikdasmen Salurkan Dana Darurat untuk Korban Bencana di Sumatera,Positive
,
Petugas Salurkan Logistik Melintasi Sungai Deras di Nagan Raya,Positive
,
Kejagung Ungkap Alasan Cabut Pencegahan Bos Djarum ke Luar Negeri,Neutral
,
Viral Penumpang Dorong Sekuriti Stasiun hingga Hampir Tertabrak KRL,Negative
,
Pramono Pastikan Hadiri Undangan Reuni 212 di Monas Besok,Positive
,
35 WNI Belum Diketahui Keberadaannya Usai Kebakaran Apartemen di Hong Kong,Negative
,
Pramono Jelaskan Proses Seleksi Sekda DKI Manfaatkan Manajemen Talenta,Positive
,
10 Kecamatan di Aceh Tamiang Belum Terjangkau Bantuan karena Banjir-Longsor,Negative
,
Alasan Pramono Tunjuk Uus Kuswanto Jadi Sekda DKI Jakarta,Neutral
,
"Kebakaran Apartemen Hong Kong Renggut 151 Nyawa, 13 Orang Ditangkap",Negative
,
Kementerian LH Panggil 8 Perusahaan Usut Sumber Gelondongan Kayu di Sumut,Positive
,
Mendagri Nilai Perlu Investigasi soal Kayu Gelondongan di Bencana Sumatera,Positive
,
Uus Kuswanto Resmi Jadi Sekda DKI Jakarta Gantikan Marullah,Neutral
,
Dono Kasino Indro Diangkat Jadi Anggota DPRD Lombok Tengah Lewat PAW,Neutral
,
Video Muzani: Penetapan Status Bencana Nasional di Sumatera Kewenangan Presiden,Neutral
,
Video: Alat Berat Dikerahkan untuk Normalisasi Aliran Lahar Gunung Semeru,Positive
,
"BMKG soal Banjir Bandang Sumatera: Curah Hujan 1 Bulan, Tumpah dalam Sehari",Negative
,
"Menjaga Negeri, Menguatkan Harapan",Positive
,
Tawa Hangat Menteri Agus Sapa Pengunjung Lansia di Immigration Lounge Solo,Neutral
,
"Kebakaran Rumah di Jelambar Jakbar, 94 Personel Damkar ke TKP",Negative
,
Polri Kerahkan 15 Helikopter-9 Kapal Kirim Bantuan Korban Bencana Sumatera,Positive
,
Korban Banjir Sambut Prabowo di Posko Pengungsian di Padang Pariaman,Neutral
,
Wali Kota Seoul Diadili karena Danai Survei,Neutral
,
"Ada Immigration Lounge di Solo Square, Menteri Agus Minta Tak Ada Batas Kuota",Neutral
,
Dampak Kerusakan Pascabanjir Bandang di Nagan Raya,Negative
,
"Rumah dan 2 Motor di Jasinga Bogor Kebakaran, Diduga Korsleting Listrik",Negative
,
"Listrik di Aceh-Sumut Masih Terputus, Tower Sementara Segera Didirikan",Negative
,
Video Ketua MPR Singgung Kerusakan Lingkungan Picu Bencana di Sumatera,Neutral
,
"BMKG: Aceh Masih dalam Musim Hujan Selama Desember, Masyarakat Perlu Waspada",Negative
,
"2 Korban Ledakan SMAN 72 Jakarta Masih Dirawat, Begini Kondisinya",Negative
,
"Polisi Tangkap 2 Pelaku Jual Obat Terlarang di Bogor, 764 Butir Disita",Negative
,
"Reuni 212 Bakal Digelar di Monas Besok, Polisi Siapkan Rekayasa Lalin",Neutral
,
"JPO Lebak Bulus Ramai Disorot karena Gelap, Pemkot Surati Kementerian PU",Negative
,
"Waspada Banjir Pesisir Jakarta pada 1-10 Desember, Ini Wilayahnya",Negative
,
Prabowo Geleng Kepala Dengar Bupati di Aceh Bilang 'Presiden Seumur Hidup',Neutral
,
"Kabasarnas: 33.620 Jiwa Terdampak Bencana Sumatera, 447 Orang Meninggal",Negative
,
"Prabowo Tiba di Bandara Minangkabau, Akan Cek Posko Korban Banjir",Neutral
,
PNM Boyong Penghargaan detikcom Awards 2025 Lewat Program Mekaarpreneur,Positive
,
"Beredar Surat Sejumlah Daerah Tak Mampu Tangani Bencana, Ini Kata Pemprov Aceh",Negative
,
Prancis Berencana Larang Siswa SMA Pakai HP di Sekolah,Neutral
,
"Mendagri soal Penjarahan di Sibolga: Mereka Terisolasi, Mungkin Stok Kurang",Negative
,
Andre Rosiade Tinjau Dapur Gerindra Sumbar yang Sediakan Ribuan Nasi Bungkus,Positive
,
"Bantuan Logistik Polda Riau Tiba di Sumbar, Disalurkan ke Posko Bencana",Positive
,
Kapolda Metro Jaya Lepas 15 Truk Bantuan untuk Korban Bencana Sumatera,Positive
,
"Gagal Nyalip, Pemotor Jatuh lalu Penumpang Tewas Terlindas Truk di Bogor",Negative
,
"Kalender Libur Nasional dan Cuti Bersama 2026, Cek Tanggal-tanggalnya!",Positive
,
"Warga Aceh Ngadu Kebun Jagung Dihantam Banjir, Ini Respons Prabowo",Negative
,
PN Jakpus: Pengosongan Lahan Hotel Sultan Tak Perlu Tunggu Banding-Kasasi,Neutral
,
"Duo Maling Motor Todong Warga di Depok Ditangkap, Senpi-Peluru Disita",Negative
,
Video Prabowo Sapa Korban Bencana di Aceh Tenggara,Neutral
,
Video Respons Tito Soal Penjarahan Minimarket-Gudang Bulog di Sibolga,Negative
,
Antrean BBM di Medan Mengular hingga Macet Usai Banjir,Negative
,
PKS Dorong Status Bencana Nasional Sumatera: Penting untuk Kekuatan Moril,Neutral
,
"BMKG Prediksi Cuaca Ekstrem Saat Nataru di Jawa-Bali, Warga Diminta Waspada",Negative
,
Damkar Evakuasi 2 Motor dan 1 Sepeda Kejeblos Septic Tank di Depok,Negative
,
Desakan ke Pemerintah Soal Status Bencana Nasional di Sumatera,Neutral
,
"Bencana Sumatera, Ketua MPR Dorong Evaluasi Tata Lingkungan",Neutral
,
"Aksi Solidaritas, PIS Bantu Warga Terdampak Banjir Sumut, Sumbar & Aceh",Positive
,
2 Hakim Pembebas Ronald Tannur Dijebloskan ke Lapas Salemba,Negative
,
Singapura Akan Perketat Larangan Pakai HP di Sekolah,Positive
,
"4 Orang Sekeluarga Diserang KKB di Papua Pegunungan, 2 Orang Tewas",Negative
,
"Marah, Warga Israel Desak Presiden Tolak Ampuni Netanyahu",Neutral
,
"Hari-hari Warga Aceh: Listrik-PDAM Mati, Sinyal Susah, BBM Antre",Negative
,
BKO Polda Riau Keruk Lumpur Tebal di Rumah-rumah Terdampak Banjir Agam,Positive
,
Kapan Jadwal Tes Seleksi Petugas Haji 2026? Simak Infonya!,Neutral
,
Video WALHI: Masyarakat Bisa Ajukan Gugatan atas Bencana Ekologis,Neutral
,
"Kayu Gelondongan di Bencana Sumatera Jadi Sorotan, PDIP Ungkit Pesan Megawati",Neutral
,
Pelayanan Humanis Polsek Bogor Utara Bantu Lansia Urus Surat Kehilangan ke SPKT,Positive
,
"Video: Soal Kayu Gelondongan di Bencana Sumatera, DPR Panggil Menhut Kamis Besok",Positive
,
"Prabowo Lanjut ke Sumbar, Tinjau Korban Banjir Usai Kunjungi Sumut-Aceh",Positive
,
"Ari Bias Gugat Hak Cipta Lagu 'Bilang Saja' Lagi, Agnez Mo Turut Tergugat",Neutral
,
BMKG Sudah Ingatkan Cuaca Ekstrem 8 Hari Sebelum Bencana di Sumatera,Neutral
,
"Video: Tinjau Bencana Sumatera, Prabowo Prioritaskan Bantuan BBM hingga Listrik",Positive
,
"Diresmikan Menteri Agus, Ini Spesialnya Campus Immigration Point Undip",Neutral
,
"Peringati Hari AIDS Sedunia, PDIP Ajak Warga Hapus Stigma Buruk pada ODHA",Neutral
,
"Dunia Hari Ini: Lebih dari 800 Warga Meninggal Akibat Cuaca Ekstrem Asia, Termasuk RI",Negative
,
Prabowo Janji Segera Perbaiki Jembatan Rusak di Aceh: Kita Punya Anggarannya,Positive
,
"Ditemukan Tewas, Kepala SMP di Cilincing Datang ke Sekolah Sejak Minggu",Negative
,
Mengejar Finish Pertumbuhan Ekonomi 2025,Neutral
,
"Operasi Zebra 2025 Sukses Digelar, Ini 8 Arahan Kakorlantas ke Jajaran",Neutral
,
"Marak Motor hingga Mobil Lawan Arah di Lebak Bulus, Polisi Turun Tangan",Negative
,
Ibas Dukung UMKM dan Ekonomi Kreatif Pacitan Bangkit,Positive
,
